قوات العدو	the enemy forces
وباء	epidemic
أعوذ بالله	Heaven forbid! (I take refuge in God)
أعوذ بالله من الشيطان الرجيم	I seek God's protection from accursed Satan (said before reading the Quran)
أعوذ بالله من البلاوي هادي	I seek God’s protection from these calamities
ناوي تهاجر؟ - أعوذ بالله	Are you thinking of emigrating? - Perish the thought!
عذراء	virgin (in Saudi Arabia and in a Christian context)
عضلة	muscle
التمارين بتقوي العضلات	The exercises strengthen the muscles
عض	to bite
الكلب عضني	The dog bit me / has bitten me
لا! الكلب هادا ما بعض	No, this dog doesn’t bite
عظم	bone (substance)
هادا من عظم	That's [made of] bone
العظمة	bone
انكسرت العظمة	The bone broke
العظمة مكسورة	The bone's broken
وين أحط العظام؟	Where shall I put the bones?
عضو	limb; organ; member
أعضاء الجسم	the bodily organs; the limbs
عضو الذكر	the male member / the male sexual organ / the penis
الأعضاء الجنسية	the sexual organs
أنا، كعضو في النادي	I, as a member of the club
مراتي عضوة في المجلس	My wife is a member of the council
كل أعضاء اللجنة	all the members of the committee
يعفي	to exempt, excuse, give an exemption to; to pardon
المعلم عفاني من الدرس	The teacher excused me from the lesson / The teacher gave me an exemption from the lesson
الرئيس عفا عنه	The president pardoned him
يعافي	to restore to health; to keep (someone) healthy
يعفن	to become mouldy, get musty
الخبز امعفن	The bread's gone mouldy
بسبب الرطوبة كل شي بيعفن	Because of the damp, everything gets mouldy
يعفش	to furnish, equip
بدنا نعفش البيت	We want to furnish / equip the house
غرفة معفشة	a furnished room
عفش	possessions, household effects; furniture
عفش البيت	household effects / the contents of the home
بدي اشتري عفش جديد	I want to buy new furniture
عفو	forgiveness, pardon
عفو عام	general amnesty
العفو!	Excuse me! / Pardon me!; Don't mention it! / You’re welcome! (in response to an expression of thanks)
عفوان	Excuse me! / Pardon me; Don't mention it! / You're welcome (in response to an expression of thanks)

